"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033189","GO:0033189","response to vitamin A","2/13","15/18986",0.133333333333333,194.728205128205,19.6472759901768,4.52156299210476e-05,0.011051438148197,0.00750706972991343,"1788/4131",2
"GO:0045091","GO:0045091","regulation of single stranded viral RNA replication via double stranded DNA intermediate","2/13","19/18986",0.105263157894737,153.732793522267,17.4348713494084,7.35231827127285e-05,0.011051438148197,0.00750706972991343,"3576/7153",2
"GO:0039692","GO:0039692","single stranded viral RNA replication via double stranded DNA intermediate","2/13","20/18986",0.1,146.046153846154,16.9880024699903,8.16608730162339e-05,0.011051438148197,0.00750706972991343,"3576/7153",2
"GO:0039694","GO:0039694","viral RNA genome replication","2/13","31/18986",0.0645161290322581,94.2233250620347,13.5972948542904,0.000199006834453735,0.0201991936970541,0.0137209975333891,"3576/7153",2
