"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000212283",228.407627576371,-1.22150283540554,0.329174377972073,-3.71080775767173,0.000206598958159394,0.0368966957549208
"ENSG00000119772",21.5773524771713,-4.38913119788824,1.00314068891071,-4.37538946072888,1.21215857568288e-05,0.00476257104385804
"ENSG00000212452",6287.82178538592,-1.60011383243156,0.430239836856924,-3.71912058195503,0.000199917603175365,0.0368966957549208
"ENSG00000169429",19.8546882693929,-3.20963654695371,0.697247547729016,-4.60329556899515,4.1585738514367e-06,0.00204237958278685
"ENSG00000131711",21.0299676145794,-2.33571283615756,0.606276921133799,-3.85255112760937,0.000116893558931372,0.0254160177751148
"ENSG00000199047",92.2312287334892,1.77754987760991,0.457631805092475,3.88423588096268,0.000102652213131183,0.0237247379642598
"ENSG00000197081",60.1836828664473,-1.66960172792071,0.447934642027029,-3.72733334569815,0.000193516437820521,0.0368966957549208
"ENSG00000244710",11.2847430157486,-3.68217865416433,0.915666644948322,-4.02130914616,5.78755895963629e-05,0.0162423708231507
"ENSG00000281706",839.172046975979,2.00920498439442,0.382723898787543,5.2497505140377,1.52305344406997e-07,0.000119681539635019
"ENSG00000223259",21.2976026108204,-2.61754805936938,0.612370007256225,-4.27445503266484,1.91605369222289e-05,0.00627347913061978
"ENSG00000207175",51.7345042794553,-1.72626781276013,0.43936296233603,-3.9290244302383,8.52911751969492e-05,0.0209443142093008
"ENSG00000244642",38.7099450935519,-3.8756112428645,0.611156910837026,-6.34143404769252,2.2763620431791e-10,2.98127548921689e-07
"ENSG00000238965",67.0382613155807,-2.84174018749627,0.739987797708216,-3.84025276673116,0.000122907696036442,0.0254160177751148
"ENSG00000201943",29.4205952237996,4.04676741751788,0.999214895916612,4.04994704748236,5.1229223807138e-05,0.0154830477183266
"ENSG00000272460",14.4083422654923,5.48674823184256,1.38162652545039,3.97122386605452,7.15043474627016e-05,0.0187293720787303
"ENSG00000201143",19.0467112365619,5.23969884483985,1.21514205727034,4.31200517955091,1.61780643166033e-05,0.00577851042726677
"ENSG00000138606",63.1994084437775,1.95803941864293,0.41624724743789,4.70402970997447,2.55076104696773e-06,0.00143170573621946
"ENSG00000221514",374.777838189725,-2.13536613648852,0.388489169541978,-5.49659116367665,3.87202967438192e-08,3.80330114766164e-05
"ENSG00000283160",105.142989317977,1.79566150021908,0.396984122819061,4.52325772493808,6.08950156660575e-06,0.002658405739466
"ENSG00000131747",55.1926332074849,3.57671127580044,0.501465323793456,7.13251965009971,9.85480024616789e-13,1.93597550835968e-09
"ENSG00000141736",3662.68034327102,3.35961592961781,0.411686169622154,8.16062374089777,3.33298912193663e-16,1.3095314260089e-12
"ENSG00000274713",36.5380381950299,2.66329328953044,0.552854624245522,4.81734830953983,1.45478610185199e-06,0.000952642432362744
